"Run Fondo";"fecha";"nombre_fondo";"nemotecnico_instrumento";"rut_emisor";"digito_verificador_emisor";"codigo_pais_emisor";"tipo_instrumento";"fecha_de_vencimiento";"situacion_del_instrumento";"clasificacion_riesgo";"codigo_grupo_empresarial";"cantidad_de_unidades";"tipo_de_unidades";"tir";"valora_par";"valor_relevante";"codigo_valorizacion";"base_tasa";"tipo_de_interes";"valorizacion_al_cierre";"codigo_moneda_liquidacion";"codigo_pais_transaccion";"porcentaje_capital_emisor";"porcentaje_activo_emisor";"porcentaje_activo_fondo"
"8032";2023-01-31;BICE EST BALANCEADA;BTP0450326;"60805000";"0";CL;BTP;2026-03-01;1;NA;"0";1800000000;$$;6.09;;;1;30;NC;1758786;$$;CL;0.000;0.000;2.233
"8032";2023-01-31;BICE EST BALANCEADA;BTP0450326;"60805000";"0";CL;BTP;2026-03-01;1;NA;"0";2150000000;$$;6.09;;;1;30;NC;2100773;$$;CL;0.000;0.000;2.667
"8032";2023-01-31;BICE EST BALANCEADA;CFIBIDELHY;"9734";"9";CL;CFI;;1;NA;"0";1575276;CU;;;75968.19;3;0;NA;1196709;PROM;CL;;0.000;1.519
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICBNFK;"8029";"2";CL;CFM;;1;NA;"0";153875802;CU;;;1291.62;3;0;NA;1987491;$$;CL;5001.000;6.460;2.523
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICCHAK;"8819";"6";CL;CFM;;1;NA;"0";373294956;CU;;;1248.56;3;0;NA;4660812;$$;CL;;0.046;5.916
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICEBLK;"8750";"5";CL;CFM;;1;NA;"0";462259478;CU;;;985.32;3;0;NA;4554735;PROM;CL;;0.047;5.782
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICELPK;"9238";K;CL;CFM;;1;NA;"0";543421;CU;;;1363.21;3;0;NA;7408;$$;CL;;0.004;0.009
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICLTPK;"8537";"5";CL;CFM;;1;NA;"0";97996374;CU;;;1269.65;3;0;NA;1244211;$$;CL;19401.000;24.632;1.579
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICMLPK;"9934";"1";CL;CFM;;1;NA;"0";2585844388;CU;;;1100.91;3;0;NA;28467819;$$;CL;;0.000;36.136
"8032";2023-01-31;BICE EST BALANCEADA;CFMBICVLRK;"8902";"8";CL;CFM;;1;NA;"0";453343;CU;;;1300.51;3;0;NA;5896;$$;CL;;0.018;0.007
