"fecha";"Run Fondo";"serie";"tipo_rentabilidad";"rentabilidad_acumulada"
2023-01-31;"8032";APV;"1M";-0.002572662978367335
2023-01-31;"8032";APV;"3M";-0.013377372812239607
2023-01-31;"8032";APV;"6M";-0.046151060783980014
2023-01-31;"8032";APV;"1Y";-0.00525711127255446
2023-01-31;"8032";APV;YTD;-0.002446582880969661
2023-01-31;"8032";D;"1M";-0.00341940941526353
2023-01-31;"8032";D;"3M";-0.01586107860826802
2023-01-31;"8032";D;"6M";-0.050947127160125394
2023-01-31;"8032";D;"1Y";-0.015154726851124845
2023-01-31;"8032";D;YTD;-0.0033207095488948513
2023-01-31;"8032";E;"1M";0.0
2023-01-31;"8032";E;"3M";0.0
2023-01-31;"8032";E;"6M";0.0
2023-01-31;"8032";E;"1Y";0.0
2023-01-31;"8032";E;YTD;0.0
2023-01-31;"8032";G;"1M";-0.0025725607952331586
2023-01-31;"8032";G;"3M";-0.013377377100837196
2023-01-31;"8032";G;"6M";-0.046150803867190726
2023-01-31;"8032";G;"1Y";-0.005256676242591629
2023-01-31;"8032";G;YTD;-0.002446481178395299
2023-01-31;"8116";APV;"1M";0.0061018487433393
2023-01-31;"8116";APV;"3M";0.03136861943525715
2023-01-31;"8116";APV;"6M";-0.0011566991355846934
2023-01-31;"8116";APV;"1Y";0.05584913357043675
2023-01-31;"8116";APV;YTD;0.00625423201202624
2023-01-31;"8245";APV;"1M";0.005186223307142246
2023-01-31;"8245";APV;"3M";0.0019837732310157286
2023-01-31;"8245";APV;"6M";-0.0017769912849433522
2023-01-31;"8245";APV;"1Y";0.0510116187279277
2023-01-31;"8245";APV;YTD;0.005265859254728111
2023-01-31;"8251";B;"1M";-0.005587131175577742
2023-01-31;"8251";B;"3M";0.023001014391467622
2023-01-31;"8251";B;"6M";-0.0032151498162158454
2023-01-31;"8251";B;"1Y";0.038248214357509136
2023-01-31;"8251";B;YTD;-0.005425925159650236
2023-01-31;"8251";H;"1M";-0.005418278835819801
2023-01-31;"8251";H;"3M";0.02351675782243623
2023-01-31;"8251";H;"6M";-0.0022094422653090584
2023-01-31;"8251";H;"1Y";0.028704847227373875
2023-01-31;"8251";H;YTD;-0.005251605820554395
2023-01-31;"8251";K;"1M";-0.004970238212431144
2023-01-31;"8251";K;"3M";0.02488528879209384
2023-01-31;"8251";K;"6M";0.0004602504806659
2023-01-31;"8251";K;"1Y";0.032116313496250104
2023-01-31;"8251";K;YTD;-0.004789015781610284
2023-01-31;"8251";P;"1M";-0.005418013762308105
2023-01-31;"8251";P;"3M";0.023517236357451843
2023-01-31;"8251";P;"6M";-0.0022089983440675143
2023-01-31;"8251";P;"1Y";0.03905965092028363
2023-01-31;"8251";P;YTD;-0.005251336611552526
2023-01-31;"8336";I-APV;"1M";-0.005743991871361209
2023-01-31;"8336";I-APV;"3M";-0.01418328310021666
2023-01-31;"8336";I-APV;"6M";-0.032781445515097984
2023-01-31;"8336";I-APV;"1Y";-0.02399624826443303
2023-01-31;"8336";I-APV;YTD;-0.005620587045190639
2023-01-31;"8576";APV;"1M";-0.0000325856794682
2023-01-31;"8576";APV;"3M";0.01844223055622818
2023-01-31;"8576";APV;"6M";-0.01747030455994325
2023-01-31;"8576";APV;"1Y";-0.009256869310870663
2023-01-31;"8576";APV;YTD;0.0000334806496805
2023-01-31;"8578";APV;"1M";-0.005050342789738926
2023-01-31;"8578";APV;"3M";0.0488948530878226
2023-01-31;"8578";APV;"6M";0.018016809811688406
2023-01-31;"8578";APV;"1Y";0.04994779400269489
2023-01-31;"8578";APV;YTD;-0.004885676668939576
2023-01-31;"8639";APV;"1M";0.008748767564515036
2023-01-31;"8639";APV;"3M";0.029879521436052547
2023-01-31;"8639";APV;"6M";-0.01162483752238852
2023-01-31;"8639";APV;"1Y";0.011800776401631907
2023-01-31;"8639";APV;YTD;0.00885944845602249
2023-01-31;"8687";APV;"1M";-0.0006390705059429
2023-01-31;"8687";APV;"3M";-0.018437788823247092
2023-01-31;"8687";APV;"6M";-0.05674120097586888
2023-01-31;"8687";APV;"1Y";-0.021511963593563665
2023-01-31;"8687";APV;YTD;-0.0005284605931166
2023-01-31;"8687";D;"1M";-0.0015892579442109422
2023-01-31;"8687";D;"3M";-0.021205115048212653
2023-01-31;"8687";D;"6M";-0.062052399512677825
2023-01-31;"8687";D;"1Y";-0.032410842165124576
2023-01-31;"8687";D;YTD;-0.0015093845131440853
2023-01-31;"8687";G;"1M";-0.0006391384108658
2023-01-31;"8687";G;"3M";-0.018438016078933805
2023-01-31;"8687";G;"6M";-0.056741551743033525
2023-01-31;"8687";G;"1Y";-0.021512283625443218
2023-01-31;"8687";G;YTD;-0.0005285359823871
2023-01-31;"8695";W-APV;"1M";-0.0026070195250756933
2023-01-31;"8695";W-APV;"3M";0.023635391313193033
2023-01-31;"8695";W-APV;"6M";0.004583385090864089
2023-01-31;"8695";W-APV;"1Y";0.038893339269983285
2023-01-31;"8695";W-APV;YTD;-0.0025203773242924443
2023-01-31;"8774";C;"1M";0.003962419233036307
2023-01-31;"8774";C;"3M";0.029806200599027388
2023-01-31;"8774";C;"6M";-0.0030721613079861543
2023-01-31;"8774";C;"1Y";0.07856223492626735
