"Run Fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_inicial_cuota";"continuadora_de_serie"
"8245";C;;2003-01-09;2004-03-26;1000.0;
"8245";B;APV;2003-01-09;2011-05-08;1000.0;
"8245";C;;2006-05-02;2011-05-08;1000.0;
"8245";APV-A;APV;2011-05-09;2013-04-26;1000.0;
"8245";EX;;;2016-03-26;1000.0;
"8245";G-APV;APV-APVC;2013-04-27;2016-03-26;1000.0;
"8245";O;;2015-03-20;2018-03-10;1000.0;
"8245";APV-AP;APV;2018-02-14;2022-10-13;1000.0;
"8245";A;;2003-01-09;;1000.0;
"8245";APV;APV;2013-04-27;;2002.8434;APV-A
"8245";APV-AP-APVC;APV-APVC;2022-10-14;;NaN;APV-AP
"8245";F;;2011-05-09;;1197.4668;O
"8245";I;;2011-05-09;;1000.0;
"8245";LV;;2015-06-08;;1000.0;
"8245";P;;2011-05-09;;1000.0;
"8245";S;;;;1000.0;
"8251";D;APV;2003-08-13;2008-10-06;1000.0;
"8251";APVC1;APV;2008-10-06;2012-01-02;1000.0;
"8251";APVC2;APV;2008-10-06;2012-01-02;1000.0;
"8251";APVC3;APV;2008-10-06;2012-01-02;1000.0;
"8251";APVC4;APV;2008-10-06;2012-01-02;1000.0;
"8251";E;;2003-09-29;2012-12-31;1000.0;
"8251";F;;2003-09-29;2012-12-31;1000.0;
"8251";I;;2011-01-28;2012-12-31;1000.0;
"8251";M;;2013-01-01;2016-10-14;1000.0;I
"8251";A;;2002-10-21;2022-04-29;1000.0;
"8251";AC;;;2022-04-29;1000.0;
"8251";APVAC;APV;;2022-04-29;1000.0;
"8251";C;APV;2002-10-21;2022-04-29;1000.0;
"8251";I;;;2022-04-29;1000.0;
"8251";LP180;;2013-01-01;2022-04-29;1228.7273;F
"8251";LP3;;2013-01-01;2022-04-29;1381.5096;E
"8251";LPI;;2016-10-15;2022-04-29;1000.0;M
"8251";PLAN1;APV;2012-01-03;2022-04-29;1068.1349;APVC1
"8251";PLAN2;APV;2012-01-03;2022-04-29;1177.8934;APVC2
"8251";PLAN3;APV;2012-01-03;2022-04-29;1078.427;APVC3
"8251";PLAN4;APV;2012-01-03;2022-04-29;1078.7573;APVC4
"8251";B;APV;2002-10-21;;1000.0;
"8251";DIG;;2022-05-02;;1000.0;
"8251";G;;2011-01-28;;1000.0;
"8251";GLB;;2022-04-30;;1000.0;A
"8251";H;APV;2022-04-30;;1000.0;C
"8251";I2;;;;1000.0;
"8251";INV;;2022-04-30;;1000.0;LP180
"8251";K;APV;2022-05-02;;1000.0;
"8251";O;;;;1000.0;
"8251";P;APV;2015-02-23;;1000.0;
"8251";PAT;;2022-04-30;;1000.0;LPI
"8302";A;;2004-06-01;2011-05-08;1000.0;
"8302";A;;2004-06-01;2011-05-08;1000.0;
"8302";B;;2004-06-01;2011-05-08;1000.0;
"8302";C;;2004-06-01;2011-05-08;1000.0;
"8302";D;;2004-06-01;2011-05-08;1000.0;
"8302";E;APV;2004-06-01;2011-05-08;1000.0;
"8302";I;;2007-11-09;2011-05-08;1000.0;
"8302";APV-A;APV;2011-05-09;2013-04-26;1000.0;
"8302";EX;;;2016-03-26;1000.0;
"8302";G-APV;APV-APVC;2013-04-27;2016-03-26;1000.0;
"8302";A;;2011-05-09;2021-09-03;1056.484;C
"8302";APV;APV;2013-04-27;2021-09-03;1219.4173;APV-A
"8302";F;;2011-05-09;2021-09-03;1000.0;B,D,I
"8302";LV;;2017-07-06;2021-09-03;1000.0;
